nqubits,depth,ncxgates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
51,601,400,219,0.0895335303071,86.15302801132202,1692.5541944503784,4199.0,True,111690,21900,29.65,400,601
53,625,416,228,0.0827540549486924,89.27367830276489,1832.40807557106,4982.0,True,120840,22800,32.03,416,625
55,649,432,237,0.0767165324127349,99.96721053123474,2015.1319153308868,5739.0,True,130350,23700,35.25,432,649
57,673,448,246,0.0713165026387106,115.82480263710022,2246.6974110603333,6651.0,True,140220,24600,39.38,448,673
59,697,464,255,0.0664672648720505,126.43268609046936,2498.017294883728,7536.0,True,150450,25500,43.74,464,697
61,721,480,264,0.0620963735717834,149.57578587532043,2687.476155281067,8436.0,True,161040,26400,47.28,480,721
63,745,496,273,0.0581429152857724,166.68792915344238,2730.094617843628,8215.0,False,171990,27300,48.28,496,745
65,769,512,282,0.0545553737043098,180.83864760398865,2551.489549636841,5007.0,False,183300,28200,45.54,512,769
67,793,528,291,0.0512899420423654,198.6735043525696,2829.768222808838,5818.0,False,194970,29100,50.47,528,793
69,817,544,300,0.0483091787439613,219.21659803390503,3584.653338193893,6531.0,True,207000,30000,63.4,544,817
71,841,560,309,0.0455809289393317,303.88071632385254,3746.850960969925,7479.0,True,219390,30900,67.51,560,841
73,865,576,318,0.0430774532609632,263.1800694465637,3526.922319173813,8423.0,True,232140,31800,63.17,576,865
75,889,592,327,0.0407747196738022,289.62940740585327,3779.920564174652,9462.0,True,245250,32700,67.83,592,889
77,913,608,336,0.03865182436611,307.7738525867462,4063.688482522965,10564.0,True,258720,33600,72.86,608,913
79,937,624,345,0.0366905155017428,441.7406485080719,5065.19982790947,11562.0,True,272550,34500,91.78,624,937
81,961,640,354,0.034874799469903,409.6191370487213,5005.870211839676,12655.0,True,286740,35400,90.26,640,961
83,985,656,363,0.0331906136944472,441.7735023498535,5582.410581827164,13787.0,True,301290,36300,100.4,656,985
85,1009,672,372,0.0316255534471853,560.9487838745117,5654.354155063629,15053.0,True,316200,37200,103.59,672,1009
87,1033,688,381,0.0301686427127643,613.479198217392,7341.505452632904,16227.0,True,331470,38100,132.58,688,1033
89,1057,704,390,0.0288101411696917,675.7093698978424,7021.505438089371,17624.0,False,347100,39000,128.29,704,1057
91,1081,720,399,0.0275413809248395,571.5386912822723,6002.487711429596,9133.0,False,363090,39900,109.57,720,1081
93,1105,736,408,0.0263546278726544,618.1301515102386,6493.764895200729,8237.0,False,379440,40800,118.53,736,1105
95,1129,752,417,0.0252429635239177,655.534303188324,6818.893808603287,8806.0,False,396150,41700,124.57,752,1129
97,1153,768,426,0.0242001839213978,691.9788801670074,7190.311413764954,9355.0,False,413220,42600,131.37,768,1153
99,1177,784,435,0.0232207128758852,748.0498661994934,7553.611560106277,9384.0,False,430650,43500,138.36,784,1177
