nqubits,cxdepth,ncxgates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,name
50,350,3750,98,0.102,37.35162973403931,930.2507803440094,3036,True,49000,9800,16.13,Quantum Volume
75,150,8325,148,0.045,136.39415550231934,2128.7261550426483,7646,True,111000,14800,37.75,Quantum Volume
100,700,15000,100,0.01,171.86451315879822,8140.990738868713,17940,True,100000,10000,138.55,Quantum Volume
50,49,49,49,0.2041,16.84956645965576,411.8522684574127,1261,True,24500,4900,7.15,Multi-Target
75,74,74,74,0.0541,67.0726089477539,1034.8193454742432,5097,True,55500,7400,18.36,Multi-Target
100,99,99,99,0.0101,176.7096712589264,8215.815774679184,13218,True,99000,9900,139.88,Multi-Target
50,28,171,6,0.2333,1.8515100479125977,22.140864610672,182,True,3000,600,0.4,Random S
75,26,253,6,0.2222,4.673007488250732,42.23454666137695,273,True,4500,600,0.78,Random S
100,30,344,6,0.1,9.732057094573976,80.14399695396423,540,True,6000,600,1.5,Random S
50,65,412,15,0.1333,5.069859266281128,80.765460729599,723,True,7500,1500,1.43,Random M
75,61,647,15,0.1778,12.6360821723938,182.4398322105408,923,True,11250,1500,3.25,Random M
100,65,867,15,0.0667,24.76963758468628,277.96432280540466,1888,True,15000,1500,5.05,Random M
50,350,2474,89,0.0225,35.849008083343506,648.1752383708954,7308,True,44500,8900,11.4,Random L
75,357,3730,89,0.015,75.51532244682312,1078.2613830566406,11789,True,66750,8900,19.23,Random L
100,344,5004,89,0.0112,148.43255972862244,1609.6667695045471,15778,True,89000,8900,29.3,Random L
49,577,384,210,0.0389,74.06733536720276,1393.0310153961182,7450,True,102900,21000,24.45,CuccarroAdder
75,889,592,327,0.0163,296.6877021789551,3833.706761598587,19827,True,245250,32700,68.84,CuccarroAdder
99,1177,784,435,0.0046,746.7283978462219,7283.315335988998,45275,True,430650,43500,133.83,CuccarroAdder
50,394,2525,98,0.0816,44.69187998771668,1024.8027701377869,3947,True,49000,9800,17.82,QFT
75,594,5661,148,0.045,145.57560396194458,2270.283133506775,7443,True,111000,14800,40.26,QFT
100,794,10050,198,0.0025,349.92074728012085,3279.0604903697968,36800,True,198000,19800,60.48,QFT
100,984,7450,289,0.0017,495.767982006073,4687.792872667313,54384,True,289000,28900,86.39,DraperAdder
50,484,1850,164,0.061,57.67811369895935,1427.0767714977264,7769,True,82000,16400,24.75,DraperAdder
76,744,4294,229,0.0287,227.5473620891571,3476.2001605033875,16675,True,174040,22900,61.73,DraperAdder
