nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
50,99,1225,97,0.1443298969072164,37.21352958679199,843.667519569397,2878.0,True,48500,9700,14.68,2525,394
51,101,1275,99,0.1386413151119033,38.13661336898804,860.800571680069,3047.0,True,50490,9900,14.98,2625,402
52,103,1326,101,0.1332825590251332,40.74225735664368,942.121577501297,3289.0,True,52520,10100,16.38,2730,410
53,105,1378,103,0.128228613299139,45.565157413482666,1018.5015745162964,3443.0,True,54590,10300,17.73,2834,418
54,107,1431,105,0.1234567901234567,45.85888195037842,1037.2341706752777,3670.0,True,56700,10500,18.05,2943,426
55,109,1485,107,0.118946474086661,47.74282717704773,1105.5379309654236,3843.0,True,58850,10700,19.22,3051,434
56,111,1540,109,0.1146788990825688,52.569029808044434,1138.8436162471771,4104.0,True,61040,10900,19.86,3164,442
57,113,1596,111,0.1106369527422159,55.74876165390015,1199.5879991054535,4228.0,True,63270,11100,20.92,3276,450
58,115,1653,113,0.1068050045773573,58.27304196357727,1228.0418028831482,4492.0,True,65540,11300,21.44,3393,458
59,117,1711,115,0.1031687546057479,61.338181257247925,1280.6712894439695,4646.0,True,67850,11500,22.37,3509,466
60,119,1770,117,0.0997150997150997,64.98940443992615,1307.882759809494,4913.0,True,70200,11700,22.88,3630,474
61,121,1830,119,0.0964320154291224,68.55854415893555,1375.690458059311,5146.0,True,72590,11900,24.07,3750,482
62,123,1891,121,0.093308451079712,74.9392876625061,1406.6683740615845,5407.0,True,75020,12100,24.69,3875,490
63,125,1953,123,0.0903342366757,76.84995651245117,1457.940786600113,5552.0,True,77490,12300,25.58,3999,498
64,127,2016,125,0.0875,78.81417179107666,1511.273411989212,5801.0,True,80000,12500,26.5,4128,506
65,129,2080,127,0.0847970926711084,82.15280055999756,1588.2591433525083,6049.0,True,82550,12700,27.84,4256,514
66,131,2145,129,0.0822175240779892,86.84519290924072,1624.5525436401367,6316.0,True,85140,12900,28.52,4389,522
67,133,2211,131,0.0797539022445026,91.42408323287964,1662.8724150657654,4657.0,True,87770,13100,29.24,4521,530
68,135,2278,133,0.0773993808049535,94.68893146514893,1727.823481798172,4946.0,True,90440,13300,30.38,4658,538
69,137,2346,135,0.0751476113794954,99.40283489227296,1765.6735651493073,5189.0,True,93150,13500,31.08,4794,546
70,139,2415,137,0.072992700729927,105.13937997817992,1892.0879430770876,5549.0,True,95900,13700,33.29,4935,554
71,141,2485,139,0.0709291721552335,110.40616250038148,1978.2881910800932,5810.0,True,98690,13900,34.81,5075,562
72,143,2556,141,0.0689519306540583,113.5058970451355,1988.5533237457275,6017.0,False,101520,14100,35.03,5220,570
73,145,2628,143,0.067056231439793,121.4798378944397,2034.738203048706,6204.0,True,104390,14300,35.94,5364,578
74,147,2701,145,0.0652376514445479,126.29271531105042,2070.86759352684,6588.0,True,107300,14500,36.62,5513,586
75,149,2775,147,0.0634920634920634,130.74373650550842,2178.3280901908875,6762.0,False,110250,14700,38.48,5661,594
76,151,2850,149,0.0618156128576474,138.68368244171145,2219.244926929474,7038.0,True,113240,14900,39.3,5814,602
77,153,2926,151,0.0602046959662853,141.47641849517822,2327.7179713249207,7392.0,True,116270,15100,41.15,5966,610
78,155,3003,153,0.0586559410088821,157.79856085777283,2490.3422327041626,7693.0,True,119340,15300,44.14,6123,618
79,157,3081,155,0.0571661902817476,153.41486930847168,2463.623655319214,7922.0,True,122450,15500,43.62,6279,626
80,159,3160,157,0.0557324840764331,176.95117115974426,2683.3907392024994,8108.0,True,125600,15700,47.67,6440,634
81,161,3240,159,0.0543520459663017,166.16063928604126,2548.70986866951,8418.0,True,128790,15900,45.25,6600,642
82,163,3321,161,0.0530222693531283,181.2876091003418,2730.679208755493,8834.0,True,132020,16100,48.53,6765,650
83,165,3403,163,0.0517407051518959,179.69515085220337,2695.3951075077057,9092.0,True,135290,16300,47.92,6929,658
84,167,3486,165,0.0505050505050505,190.403258562088,2790.749489307404,9434.0,True,138600,16500,49.69,7098,666
85,169,3570,167,0.0493131384290243,198.56572079658508,2872.968093395233,9646.0,True,141950,16700,51.19,7266,674
86,171,3655,169,0.048162928306041,207.8150639533997,2986.7678055763245,9906.0,True,145340,16900,53.24,7439,682
87,173,3741,171,0.0470524971432412,212.6919467449188,3114.023768424988,10327.0,True,148770,17100,55.45,7611,690
