nqubits,depth,ncxgates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
50,270,1250,164,0.073170731707317,62.958325147628784,1429.404097557068,5939.0,True,82000,16400,24.87,1850,484
52,281,1352,169,0.0682749203459262,69.78966999053955,1172.0913562774658,4746.0,True,87880,16900,20.7,2002,504
54,292,1458,174,0.0638569604086845,75.5347752571106,1236.090077161789,5408.0,True,93960,17400,21.86,2160,524
56,303,1568,179,0.0598563447725458,84.55672526359558,1414.7067649364471,5861.0,True,100240,17900,24.99,2324,544
58,314,1682,184,0.0562218890554722,92.47489762306212,1591.613688468933,6642.0,True,106720,18400,28.07,2494,564
60,325,1800,189,0.0529100529100529,99.513352394104,1718.9631428718567,7253.0,True,113400,18900,30.31,2670,584
62,336,1922,194,0.049883604921849,113.42975425720216,1904.976269006729,7843.0,True,120280,19400,33.64,2852,604
64,347,2048,199,0.0471105527638191,125.61880087852478,2057.349991321564,8559.0,True,127360,19900,36.38,3040,624
66,358,2178,204,0.0445632798573975,139.20444178581238,2175.445126771927,9172.0,True,134640,20400,38.58,3234,644
68,369,2312,209,0.0422178440754292,141.46922326087952,2275.301716566086,9972.0,True,142120,20900,40.28,3434,664
70,380,2450,214,0.0400534045393858,154.6547474861145,2451.7713918685918,10650.0,True,149800,21400,43.44,3640,684
72,391,2592,219,0.0380517503805175,170.65589499473572,2565.3203456401825,11316.0,True,157680,21900,45.6,3852,704
74,402,2738,224,0.0361969111969111,184.8299117088318,2772.5325660705566,12129.0,True,165760,22400,49.29,4070,724
76,413,2888,229,0.0344748333716387,200.98318362236023,3020.2612466812134,12917.0,True,174040,22900,53.69,4294,744
78,424,3042,234,0.0328731097961867,217.9124357700348,2590.890089511872,9875.0,True,182520,23400,46.81,4524,764
80,435,3200,239,0.0313807531380753,229.5023488998413,2764.673255443573,10764.0,True,191200,23900,49.9,4760,784
82,446,3362,244,0.0299880047980807,245.59496307373047,2857.472231149673,11448.0,True,200080,24400,51.72,5002,804
84,457,3528,249,0.0286861732644865,273.1347048282624,3068.8729865550995,12189.0,True,209160,24900,55.7,5250,824
86,468,3698,254,0.0274674967954587,295.86937284469604,3384.472167015076,13060.0,True,218440,25400,61.34,5504,844
88,479,3872,259,0.0263250263250263,317.6589434146881,3602.825987100601,13847.0,False,227920,25900,65.34,5764,864
90,490,4050,264,0.0252525252525252,329.2435829639435,3441.020708560944,14653.0,True,237600,26400,62.84,6030,884
92,501,4232,269,0.0242443833845159,350.6572549343109,4359.532207727432,15407.0,False,247480,26900,78.5,6302,904
94,512,4418,274,0.0232955427861469,377.8771204948425,4651.030437231064,16156.0,True,257560,27400,83.82,6580,924
96,523,4608,279,0.0224014336917562,417.87019085884094,4945.856494188309,17016.0,False,267840,27900,89.4,6864,944
98,534,4802,284,0.0215579189422247,426.3880228996277,5111.789931297302,17650.0,False,278320,28400,92.3,7154,964
