nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
50,50,1250,50,0.2,19.167792797088623,430.04124641418457,1947.0,True,25000,5000,7.49,3750,350
51,51,1275,51,0.1922337562475971,19.27698135375977,448.32286643981934,2036.0,True,26010,5100,7.79,3825,357
52,52,1352,52,0.1849112426035503,20.28801679611206,457.17188715934753,2170.0,True,27040,5200,7.96,4056,364
53,53,1378,53,0.1779992880028479,22.21471762657165,477.0619673728943,2210.0,True,28090,5300,8.32,4134,371
54,54,1458,54,0.1714677640603566,23.415284872055054,500.7039003372192,2341.0,True,29160,5400,8.74,4374,378
55,55,1485,55,0.1652892561983471,23.585472106933597,514.3019595146179,2409.0,True,30250,5500,8.96,4455,385
56,56,1568,56,0.159438775510204,26.10633635520935,550.4290716648102,2526.0,True,31360,5600,9.61,4704,392
57,57,1596,57,0.1538935056940597,27.71438193321228,575.9581782817841,2647.0,True,32490,5700,10.06,4788,399
58,58,1682,58,0.1486325802615933,29.1402804851532,587.6306302547455,2761.0,True,33640,5800,10.28,5046,406
59,59,1711,59,0.1436368859523125,31.04428267478943,613.7861104011536,2828.0,True,34810,5900,10.75,5133,413
60,60,1800,60,0.1388888888888889,32.6765079498291,628.4610912799835,2980.0,True,36000,6000,11.02,5400,420
61,61,1830,61,0.1343724805159903,34.02265024185181,657.3167796134949,3026.0,True,37210,6100,11.52,5490,427
62,62,1922,62,0.1300728407908428,35.43913388252258,676.4484839439392,3179.0,True,38440,6200,11.86,5766,434
63,63,1953,63,0.1259763164525069,37.22115516662598,715.5776448249817,3284.0,True,39690,6300,12.55,5859,441
64,64,2048,64,0.1220703125,39.03738045692444,742.8341474533081,3416.0,True,40960,6400,13.03,6144,448
65,65,2080,65,0.1183431952662721,41.18386507034302,721.2102837562561,3505.0,True,42250,6500,12.71,6240,455
66,66,2178,66,0.1147842056932966,42.85518741607666,761.4291696548462,3381.0,True,43560,6600,13.4,6534,462
67,67,2211,67,0.1113833815994653,45.06967306137085,783.595020532608,3457.0,True,44890,6700,13.81,6633,469
68,68,2312,68,0.1081314878892733,47.55691719055176,803.012157201767,3568.0,True,46240,6800,14.18,6936,476
69,69,2346,69,0.1050199537912203,49.37255573272705,817.9197714328766,3722.0,True,47610,6900,14.45,7038,483
70,70,2450,70,0.1020408163265306,51.24072456359863,870.6041071414948,3868.0,True,49000,7000,15.36,7350,490
71,71,2485,71,0.0991866693116445,54.661423444747925,888.1782488822937,3905.0,True,50410,7100,15.71,7455,497
72,72,2592,72,0.0964506172839506,58.149088621139526,921.165142774582,4127.0,True,51840,7200,16.32,7776,504
73,73,2628,73,0.0938262338149746,58.57791590690613,959.7271916866302,4187.0,True,53290,7300,16.97,7884,511
74,74,2738,74,0.0913075237399561,63.10773134231568,973.7441272735596,4315.0,True,54760,7400,17.28,8214,518
75,75,2775,75,0.0888888888888888,65.40859651565552,1012.1135382652284,4463.0,True,56250,7500,17.96,8325,525
76,76,2888,76,0.0865650969529086,68.85643172264099,1055.7339191436768,4610.0,False,57760,7600,18.74,8664,532
77,77,2926,77,0.0843312531624219,73.79316067695618,1084.1197605133057,4762.0,True,59290,7700,19.3,8778,539
78,78,3042,78,0.0821827744904667,75.21422004699707,1102.9742827415466,4871.0,True,60840,7800,19.64,9126,546
79,79,3081,79,0.0801153661272232,76.17132902145386,1150.0403044223783,5087.0,True,62410,7900,20.44,9243,553
80,80,3200,80,0.078125,79.18686151504517,1189.512922525406,5197.0,True,64000,8000,21.14,9600,560
81,81,3240,81,0.0762078951379362,82.743248462677,1222.1203861236572,5313.0,True,65610,8100,21.75,9720,567
82,82,3362,82,0.074360499702558,88.24081897735596,1258.7971241474152,5455.0,True,67240,8200,22.45,10086,574
83,83,3403,83,0.0725794745246044,90.89821028709412,1374.824350118637,5556.0,True,68890,8300,24.43,10209,581
84,84,3528,84,0.0708616780045351,96.70869731903076,1366.6191232204435,5808.0,True,70560,8400,24.39,10584,588
85,85,3570,85,0.0692041522491349,99.86149168014526,1432.8503847122192,5894.0,True,72250,8500,25.55,10710,595
86,86,3698,86,0.067604110329908,101.57482600212096,1382.9971628189087,6031.0,True,73960,8600,24.74,11094,602
87,87,3741,87,0.0660589245607081,104.93632864952087,1441.5277876853943,6255.0,True,75690,8700,25.77,11223,609
88,88,3872,88,0.0645661157024793,111.97749996185304,1480.110206365585,6366.0,True,77440,8800,26.53,11616,616
