nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars,time,cxcount,cxdepth
50,6,99,6,0.3333333333333333,2.085364580154419,23.67696857452393,128.0,True,3000,600,0.43,213,54
51,6,104,6,0.326797385620915,2.0109951496124268,24.02527093887329,141.0,True,3060,600,0.43,196,39
52,6,108,6,0.3205128205128205,2.071206331253052,24.76338243484497,144.0,True,3120,600,0.45,201,42
53,6,111,6,0.3144654088050314,2.1927316188812256,25.518276691436768,154.0,True,3180,600,0.46,206,40
54,6,112,6,0.3086419753086419,2.2581491470336914,26.020293474197388,163.0,True,3240,600,0.47,210,45
55,6,110,6,0.303030303030303,2.3239240646362305,26.99707818031311,157.0,True,3300,600,0.49,227,39
56,6,112,6,0.2976190476190476,2.414177894592285,27.45871591567993,162.0,True,3360,600,0.5,227,42
57,6,115,6,0.2923976608187134,2.538784503936768,28.874964475631717,171.0,True,3420,600,0.52,230,41
58,6,117,6,0.2873563218390804,2.6550421714782715,29.525402307510376,183.0,True,3480,600,0.54,246,52
59,6,121,6,0.2824858757062147,2.766420841217041,29.792065620422363,182.0,True,3540,600,0.54,252,40
60,6,123,6,0.2777777777777778,2.866105794906616,30.14546751976013,195.0,True,3600,600,0.55,258,43
61,6,125,6,0.273224043715847,2.96865463256836,30.624704837799072,179.0,True,3660,600,0.56,245,41
62,6,119,6,0.2688172043010752,3.063184976577759,31.831310033798218,192.0,True,3720,600,0.58,248,41
63,6,122,6,0.2645502645502645,3.3119935989379883,33.360678911209106,193.0,True,3780,600,0.61,249,50
64,6,127,6,0.2604166666666667,3.4551455974578857,33.75129795074463,189.0,True,3840,600,0.62,260,43
65,6,131,6,0.2564102564102564,3.529927968978882,34.825356006622314,209.0,True,3900,600,0.64,268,43
66,6,130,6,0.2525252525252525,3.698533296585083,34.546830892562866,214.0,True,3960,600,0.64,260,38
67,6,138,6,0.2487562189054726,3.78974723815918,34.685314893722534,225.0,True,4020,600,0.64,273,48
68,6,137,6,0.2450980392156862,3.879595994949341,33.40858054161072,230.0,True,4080,600,0.62,275,42
69,6,139,6,0.2415458937198067,3.999366283416748,34.11379885673523,231.0,True,4140,600,0.64,287,46
70,6,137,6,0.238095238095238,4.143739938735962,34.91593360900879,224.0,True,4200,600,0.65,291,48
71,6,145,6,0.2347417840375587,4.218862295150757,35.9332594871521,232.0,True,4260,600,0.67,299,42
72,6,140,6,0.2314814814814814,4.322149038314819,36.55863237380981,251.0,True,4320,600,0.68,304,38
73,6,148,6,0.228310502283105,4.489653825759888,37.904680490493774,240.0,True,4380,600,0.71,310,43
74,6,147,6,0.2252252252252252,4.522452354431152,37.47216701507568,243.0,True,4440,600,0.7,286,44
75,6,145,6,0.2222222222222222,4.633699893951416,38.55889534950256,267.0,True,4500,600,0.72,299,40
76,6,149,6,0.219298245614035,4.959861755371094,39.84431266784668,250.0,True,4560,600,0.75,311,46
77,6,153,6,0.2164502164502164,4.999015331268311,40.79367995262146,265.0,True,4620,600,0.76,317,49
78,6,152,6,0.2136752136752136,5.186990261077881,41.75325512886048,251.0,True,4680,600,0.78,322,46
79,6,158,6,0.2109704641350211,5.208020925521851,42.86047148704529,267.0,True,4740,600,0.8,326,40
80,6,159,6,0.2083333333333333,5.331227540969849,41.95537352561951,277.0,True,4800,600,0.79,341,44
81,6,163,6,0.205761316872428,5.487534999847412,43.29856276512146,283.0,True,4860,600,0.81,352,49
82,6,168,6,0.2032520325203252,5.66916823387146,43.809043169021606,284.0,True,4920,600,0.82,345,43
83,6,164,6,0.2008032128514056,5.892809152603149,45.51597929000855,290.0,True,4980,600,0.86,350,50
84,6,169,6,0.1984126984126984,6.129555940628052,47.27315855026245,293.0,True,5040,600,0.89,353,48
85,6,164,6,0.196078431372549,6.263744354248047,46.4942798614502,292.0,True,5100,600,0.88,358,48
86,6,171,6,0.1937984496124031,6.460490465164185,47.568976163864136,310.0,True,5160,600,0.9,361,51
87,6,174,6,0.1915708812260536,6.507812261581421,48.5039746761322,302.0,True,5220,600,0.92,368,46
88,6,171,6,0.1893939393939394,6.702357769012451,48.584959268569946,306.0,True,5280,600,0.92,375,44
89,6,170,6,0.1872659176029962,6.935791254043579,50.53262758255005,309.0,True,5340,600,0.96,373,43
90,6,175,6,0.1851851851851851,7.022111892700195,49.71236228942871,311.0,True,5400,600,0.95,369,44
91,6,171,6,0.1831501831501831,7.19222903251648,59.08365440368652,314.0,True,5460,600,1.1,379,42
92,6,175,6,0.181159420289855,7.437716007232666,60.99220418930054,315.0,True,5520,600,1.14,385,49
93,6,181,6,0.1792114695340501,8.279807090759277,64.88612389564514,327.0,True,5580,600,1.22,394,44
94,6,186,6,0.1773049645390071,8.146695137023926,66.10997986793518,327.0,True,5640,600,1.24,403,46
95,6,183,6,0.175438596491228,8.347092866897583,67.41039848327637,323.0,True,5700,600,1.26,400,45
96,6,183,6,0.1736111111111111,8.289530515670776,70.09070539474487,316.0,True,5760,600,1.31,416,49
97,6,189,6,0.1718213058419244,8.767971277236938,71.6884388923645,352.0,True,5820,600,1.34,415,46
98,6,199,6,0.1700680272108843,9.024815320968628,73.01362991333008,329.0,True,5880,600,1.37,421,43
99,6,199,6,0.1683501683501683,9.169225215911863,74.22480130195618,326.0,True,5940,600,1.39,422,54
100,6,202,6,0.1666666666666666,9.431889295578005,75.93195056915283,337.0,False,6000,600,1.42,410,49
